,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
20,Intrinsic Flow,Moonbeam,89142,2022-05-11 18:13:00,0.781,0.494,5.0,-11.04,0.0,0.036,0.079,0.618,0.103,0.559,114.0,4TGDSeSPvNW1t9lEApQOVE,4.0
21,Hellmaos,Recognize,94736,2022-05-11 18:14:00,0.644,0.541,2.0,-5.801,1.0,0.0426,0.0102,0.0,0.102,0.165,119.513,1DMYEiuAgz1OKvANXiNFrN,4.0
22,Blumida,Cloud Castle,99428,2022-05-11 18:16:00,0.556,0.563,0.0,-6.731,1.0,0.0523,0.04,0.9,0.245,0.349,83.9,4XX98IFgGNlKNgJi7ozYKg,4.0
23,Intrinsic Flow,Alone on An Island,119999,2022-05-11 18:18:00,0.215,0.0796,0.0,-23.323,1.0,0.0303,0.945,0.955,0.072,0.0394,70.316,63srq70JClmi80OC6X7J5g,4.0
24,Rangitoto,Morganite,85714,2022-05-11 18:20:00,0.166,0.0367,0.0,-26.202,1.0,0.0398,0.701,0.823,0.108,0.135,139.73,4525Hx49ZxzUeeaKrlYlaS,3.0
25,Intrinsic Flow,Bright Eyes,102857,2022-05-11 18:21:00,0.753,0.717,8.0,-8.088,1.0,0.0821,0.562,0.721,0.0829,0.117,124.009,4G14OQfisZUDxTy2GyR9bW,4.0
27,Red Neptune,Brittle Star,90434,2022-05-11 18:27:00,0.196,0.00343,0.0,-38.312,0.0,0.0451,0.995,0.984,0.132,0.0354,64.721,3ywatNwCvzcLRWssA8fsJU,3.0
28,Red Neptune,Seagull,89599,2022-05-11 18:28:00,0.368,0.395,7.0,-14.067,1.0,0.0296,0.458,3.66e-05,0.14,0.466,101.564,6jA05EM7TTFpWKwBQr5Isf,4.0
29,Rangitoto,Lonely Desert,105205,2022-05-11 18:30:00,0.451,0.465,11.0,-9.982,0.0,0.0255,0.00609,0.831,0.128,0.118,180.003,7l4n5uwWB4foOFvw5CxpuN,4.0
30,SkySky,Winding Down,85925,2022-05-11 18:31:00,0.147,0.0181,0.0,-39.392,0.0,0.0434,0.905,0.955,0.114,0.0653,138.389,2YMF46jCQHWY5Cu34tAbyN,4.0
31,Mvnday,White Lies,65142,2022-05-11 18:33:00,0.596,0.539,2.0,-9.318,1.0,0.0472,0.0419,0.0317,0.0783,0.117,89.966,01YmDEvbiVb5q5eCGNlB6U,4.0
33,Slowberry,Someone Misses You,66857,2022-05-11 18:36:00,0.641,0.0345,0.0,-35.587,1.0,0.0422,0.996,0.973,0.114,0.934,69.922,0mEfx07KcDFUKNrU16Bk5N,4.0
36,Ananta,Seeking Silence,116571,2022-05-11 19:02:00,0.357,0.205,10.0,-22.167,1.0,0.0308,0.879,0.932,0.0918,0.0618,140.353,5UZzBvSXjY2o5aKcPCIYEU,4.0
37,Joe Ananda,Only One Time,99199,2022-05-11 19:06:00,0.231,0.0782,0.0,-26.117,1.0,0.0384,0.968,0.963,0.0989,0.031,66.065,7vYPrJgPqfGhsOfkL0okpf,4.0
38,Blumida,Forever Together,102857,2022-05-11 19:07:00,0.411,0.129,0.0,-21.368,1.0,0.0338,0.99,0.934,0.0767,0.205,140.158,26uvmHRLvY2VWgcH8I4lS2,4.0
39,Fuzzy & Glad,Summer Night Sky,84303,2022-05-11 19:09:00,0.635,0.0148,0.0,-26.897,1.0,0.046,0.995,0.881,0.102,0.46,81.671,6DH7CWK3fKjCH33GkJvhoN,4.0
40,Joe Ananda,Greater Spirit,98630,2022-05-11 19:11:00,0.656,0.385,5.0,-18.257,1.0,0.0553,0.834,0.873,0.0957,0.112,120.018,2tWlVOXvLF5haGDYxPRGRD,4.0
41,Dhyana Dan,Galapagos,115199,2022-05-11 19:12:00,0.165,0.18,0.0,-22.32,0.0,0.0413,0.98,0.917,0.109,0.0623,61.617,1EWOtsGlxEeyc9WsDw45rP,5.0
42,Ananta,Annual Daisy,99428,2022-05-11 19:14:00,0.191,0.106,4.0,-27.305,1.0,0.0444,0.969,0.963,0.0808,0.0323,70.785,6KImaBgqBj8HdXBQVPEIup,4.0
43,Joe Ananda,Healing Frequencies,95999,2022-05-11 19:16:00,0.175,0.119,0.0,-22.492,1.0,0.0503,0.905,0.941,0.0851,0.0281,84.932,0x5bRvUlDk1rmzMorvUxYR,3.0
44,Ananta,One with Myself,94647,2022-05-11 19:17:00,0.155,0.11,0.0,-24.356,0.0,0.0479,0.909,0.894,0.12,0.0365,76.131,2S5YfHhXQX5uNxAmWTjIJ3,3.0
45,Dhyana Dan,The First leaves,91267,2022-05-11 19:20:00,0.193,0.0805,2.0,-25.656,1.0,0.0421,0.957,0.97,0.095,0.05,73.269,7dmTVe7uWD4K6afhJt7Lfs,4.0
46,Intrinsic Flow,Make Me Listen to You,95999,2022-05-11 19:24:00,0.17,0.148,6.0,-22.296,1.0,0.0537,0.843,0.926,0.181,0.103,127.074,4DNSeJqArKV7exjSCFU4es,4.0
47,Red Neptune,Softness,114929,2022-05-11 19:25:00,0.333,0.637,7.0,-8.011,1.0,0.111,0.0523,0.0364,0.75,0.389,146.62,1NlXQ0Qrxyp1GdMWMzjzly,5.0
48,Intrinsic Flow,One with Yourself,95999,2022-05-11 19:27:00,0.192,0.183,1.0,-23.161,1.0,0.0387,0.875,0.939,0.169,0.0323,87.834,4FSLfHDKnnmxfskTPOBH9T,4.0
49,Umpirage,Light the Night,99428,2022-05-11 19:29:00,0.496,0.371,0.0,-13.899,1.0,0.0343,0.53,0.778,0.132,0.271,120.059,2POh75IGOgdHVi9cXeSKiy,4.0
50,Dhyana Dan,Dharma,5653,2022-05-11 20:13:00,0.331,0.919,3.0,-4.707,0.0,0.452,0.0367,0.000759,0.124,0.389,191.112,6wiQ1tAGxUsnbJXyjgXLel,3.0
51,Rangitoto,Explore Your Soul,9971,2022-05-11 20:13:00,0.248,0.146,7.0,-21.551,1.0,0.0373,0.893,0.725,0.0957,0.0353,73.963,1GwaCX84BPG0GRoC0zIa9P,1.0
52,Ananta,Mind’s Eye,11224,2022-05-11 20:13:00,0.583,0.464,2.0,-8.49,0.0,0.0267,0.238,0.000162,0.11,0.286,124.009,19vLbTpnjkQtcCTaHVPQUm,4.0
53,Dhyana Dan,Eucalyptus,25483,2022-05-11 20:14:00,0.634,0.562,10.0,-12.421,0.0,0.0442,0.0419,0.801,0.0967,0.16,113.986,1yjV61XnOn5I5jzY3IaVpu,4.0
57,ODESZA,Across The Room - Tycho Remix,231910,2022-05-12 03:16:00,0.383,0.765,6.0,-7.295,1.0,0.0539,0.00371,6.08e-05,0.101,0.16,177.89,1nzLNeyk835Q9h1zPS4gr9,4.0
62,Tycho,Dye,252864,2022-05-12 03:27:00,0.547,0.759,9.0,-8.168,1.0,0.0308,0.34,0.932,0.235,0.3,156.035,3GLKuZMs9FHwoO9su6ZB5P,4.0
75,Tycho,Plains,197183,2022-05-12 06:06:00,0.581,0.788,8.0,-8.937,1.0,0.0371,0.0491,0.865,0.344,0.313,127.991,2ZxcZhExAOda6PMI7P1l3u,4.0
78,Tycho,Apogee,260446,2022-05-12 06:26:00,0.479,0.792,10.0,-6.605,0.0,0.0398,0.0498,0.826,0.345,0.586,175.957,4nyQemFggOoTA3qYRHuief,4.0
81,Unprocessed,Fear,282566,2022-05-12 11:36:00,0.669,0.937,6.0,-4.325,1.0,0.0397,0.302,0.783,0.118,0.344,110.008,7xkCeK3qzCyf43cF8yN7Xt,4.0
83,Bonobo,Heartbreak,22592,2022-05-12 11:41:00,0.624,0.457,0.0,-8.876,1.0,0.0494,0.557,0.0,0.128,0.586,129.758,2QfznFotJNZmnIEYFdzE5T,4.0
90,Bonobo,Break Apart,274693,2022-05-12 11:57:00,0.648,0.458,5.0,-15.169,1.0,0.0311,0.864,0.0944,0.366,0.0848,119.96,2pYvd6cHcAIMAM6xMD6nok,4.0
