,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Jananeh,0.603,0.463,1.0,-13.865,1.0,0.0319,0.0617,0.446,0.095,0.0364,99.99,audio_features,1eEDrWVEunAidQgf8sIYHK,spotify:track:1eEDrWVEunAidQgf8sIYHK,https://api.spotify.com/v1/tracks/1eEDrWVEunAidQgf8sIYHK,https://api.spotify.com/v1/audio-analysis/1eEDrWVEunAidQgf8sIYHK,672000.0,4.0
Letting go,0.366,0.00576,0.0,-32.59,1.0,0.0873,0.645,0.0,0.0673,0.0936,75.297,audio_features,3lDhtIzmnt6s6bYWjDZdcE,spotify:track:3lDhtIzmnt6s6bYWjDZdcE,https://api.spotify.com/v1/tracks/3lDhtIzmnt6s6bYWjDZdcE,https://api.spotify.com/v1/audio-analysis/3lDhtIzmnt6s6bYWjDZdcE,630048.0,5.0
SAMSARA,0.489,0.641,11.0,-7.011,0.0,0.032,0.00598,0.0201,0.122,0.587,108.901,audio_features,04xLp87480JkyiHIiWgj8I,spotify:track:04xLp87480JkyiHIiWgj8I,https://api.spotify.com/v1/tracks/04xLp87480JkyiHIiWgj8I,https://api.spotify.com/v1/audio-analysis/04xLp87480JkyiHIiWgj8I,211885.0,4.0
For Eternity,0.663,0.689,4.0,-11.262,0.0,0.0387,0.48,0.873,0.108,0.203,112.02,audio_features,7vtcGWy1bV1NmbyiPuceRY,spotify:track:7vtcGWy1bV1NmbyiPuceRY,https://api.spotify.com/v1/tracks/7vtcGWy1bV1NmbyiPuceRY,https://api.spotify.com/v1/audio-analysis/7vtcGWy1bV1NmbyiPuceRY,410936.0,4.0
My Resolve,0.559,0.8,4.0,-5.29,1.0,0.0315,0.152,0.0,0.186,0.459,123.99,audio_features,4fkU9u0jU0dbptg8yziUPW,spotify:track:4fkU9u0jU0dbptg8yziUPW,https://api.spotify.com/v1/tracks/4fkU9u0jU0dbptg8yziUPW,https://api.spotify.com/v1/audio-analysis/4fkU9u0jU0dbptg8yziUPW,325907.0,4.0
Little Fluffy Clouds,0.682,0.736,6.0,-12.46,0.0,0.0385,0.00592,0.262,0.176,0.589,104.996,audio_features,00KJj7jG16g1Cv8wpzeTWq,spotify:track:00KJj7jG16g1Cv8wpzeTWq,https://api.spotify.com/v1/tracks/00KJj7jG16g1Cv8wpzeTWq,https://api.spotify.com/v1/audio-analysis/00KJj7jG16g1Cv8wpzeTWq,249800.0,4.0
Om Pra Mah,0.779,0.611,1.0,-8.139,1.0,0.0653,0.0546,0.269,0.0754,0.573,104.991,audio_features,5VZu6KjfJjC40CdcixdFPy,spotify:track:5VZu6KjfJjC40CdcixdFPy,https://api.spotify.com/v1/tracks/5VZu6KjfJjC40CdcixdFPy,https://api.spotify.com/v1/audio-analysis/5VZu6KjfJjC40CdcixdFPy,310857.0,4.0
Original Language,0.798,0.676,4.0,-10.455,0.0,0.0558,0.0119,0.9,0.094,0.891,129.997,audio_features,52wJfSCcUt8qFkU0KYvQ4S,spotify:track:52wJfSCcUt8qFkU0KYvQ4S,https://api.spotify.com/v1/tracks/52wJfSCcUt8qFkU0KYvQ4S,https://api.spotify.com/v1/audio-analysis/52wJfSCcUt8qFkU0KYvQ4S,438013.0,4.0
Flowers / When I Was Your Man Mashup,0.786,0.7,0.0,-6.123,1.0,0.0379,0.561,0.0,0.0965,0.933,118.084,audio_features,42lBeCHwd3fzXTPGX7HcOf,spotify:track:42lBeCHwd3fzXTPGX7HcOf,https://api.spotify.com/v1/tracks/42lBeCHwd3fzXTPGX7HcOf,https://api.spotify.com/v1/audio-analysis/42lBeCHwd3fzXTPGX7HcOf,202643.0,4.0
Love Letter,0.635,0.835,8.0,-2.876,1.0,0.0589,0.0948,0.0119,0.285,0.216,109.987,audio_features,5p8QLRVnBk20xuvwiDZtTr,spotify:track:5p8QLRVnBk20xuvwiDZtTr,https://api.spotify.com/v1/tracks/5p8QLRVnBk20xuvwiDZtTr,https://api.spotify.com/v1/audio-analysis/5p8QLRVnBk20xuvwiDZtTr,253122.0,4.0
